TIMESTAMP,
단위,
factor,
초기치,
2022-09-16 18:30,0.005051
2022-09-16 18:35,0.005023
2022-09-16 18:40,0.005116
2022-09-16 18:45,0.005191
2022-09-16 18:50,0.005252
2022-09-16 18:55,0.005217
2022-09-16 19:00,0.005187
2022-09-16 19:05,0.005128
2022-09-16 19:10,0.004926
2022-09-16 19:15,0.004867
2022-09-16 19:20,0.004666
2022-09-16 19:25,0.004504
2022-09-16 19:30,0.004303
2022-09-16 19:35,0.003919
2022-09-16 19:40,0.002836
2022-09-16 19:45,-0.000336
2022-09-16 19:50,-0.003531
2022-09-16 19:55,-0.006726
2022-09-16 20:00,-0.009842
2022-09-16 20:05,-0.012957
2022-09-16 20:10,-0.016013
2022-09-16 20:15,-0.019476
2022-09-16 20:20,-0.023041
2022-09-16 20:25,-0.026566
2022-09-16 20:30,-0.030107
2022-09-16 20:35,-0.033927
2022-09-16 20:40,-0.037525
2022-09-16 20:45,-0.040425
2022-09-16 20:50,-0.041327
2022-09-16 20:55,-0.042496
2022-09-16 21:00,-0.043664
2022-09-16 21:05,-0.044833
2022-09-16 21:10,-0.046001
2022-09-16 21:15,-0.047170
2022-09-16 21:20,-0.047830
2022-09-16 21:25,-0.048490
2022-09-16 21:30,-0.048513
2022-09-16 21:35,-0.048521
2022-09-16 21:40,-0.048249
2022-09-16 21:45,-0.047978
2022-09-16 21:50,-0.047419
2022-09-16 21:55,-0.046848
2022-09-16 22:00,-0.045988
2022-09-16 22:05,-0.045398
2022-09-16 22:10,-0.044808
2022-09-16 22:15,-0.044218
2022-09-16 22:20,-0.043921
2022-09-16 22:25,-0.043889
2022-09-16 22:30,-0.043889
2022-09-16 22:35,-0.044463
2022-09-16 22:40,-0.045004
2022-09-16 22:45,-0.045546
2022-09-16 22:50,-0.046405
2022-09-16 22:55,-0.047550
2022-09-16 23:00,-0.048696
2022-09-16 23:05,-0.049842
2022-09-16 23:10,-0.050717
2022-09-16 23:15,-0.051266
2022-09-16 23:20,-0.051282
2022-09-16 23:25,-0.051005
2022-09-16 23:30,-0.050464
2022-09-16 23:35,-0.049890
2022-09-16 23:40,-0.049316
2022-09-16 23:45,-0.048201
2022-09-16 23:50,-0.047086
2022-09-16 23:55,-0.045653
2022-09-17 00:00,-0.044508
2022-09-17 00:05,-0.043362
2022-09-17 00:10,-0.042216
2022-09-17 00:15,-0.041071
2022-09-17 00:20,-0.040251
2022-09-17 00:25,-0.039964
2022-09-17 00:30,-0.039677
2022-09-17 00:35,-0.039390
2022-09-17 00:40,-0.039103
2022-09-17 00:45,-0.038530
2022-09-17 00:50,-0.038816
2022-09-17 00:55,-0.039074
2022-09-17 01:00,-0.039331
2022-09-17 01:05,-0.039044
2022-09-17 01:10,-0.038757
2022-09-17 01:15,-0.038470
